================ Training Loss (Sat Nov 29 20:58:22 2025) ================
[Rank 0] (epoch: 1, iters: 1100, time: 0.088, data: 0.021) , D_A: 0.213, G_A: 0.508, cycle_A: 1.687, D_B: 0.188, G_B: 0.365, cycle_B: 2.800, clip_style_AtoB: 6.973, clip_style_BtoA: 7.379, edge_AtoB: 3.501

[Rank 0] (epoch: 1, iters: 1120, time: 0.085, data: 0.018) , D_A: 0.208, G_A: 0.430, cycle_A: 2.289, D_B: 0.177, G_B: 0.248, cycle_B: 1.757, clip_style_AtoB: 7.035, clip_style_BtoA: 7.367, edge_AtoB: 4.316

[Rank 0] (epoch: 2, iters: 20, time: 0.089, data: 0.022) , D_A: 0.235, G_A: 0.387, cycle_A: 2.699, D_B: 0.202, G_B: 0.439, cycle_B: 2.967, clip_style_AtoB: 6.984, clip_style_BtoA: 7.367, edge_AtoB: 4.237

[Rank 0] (epoch: 2, iters: 40, time: 0.087, data: 0.020) , D_A: 0.196, G_A: 0.446, cycle_A: 3.137, D_B: 0.179, G_B: 0.482, cycle_B: 2.425, clip_style_AtoB: 6.992, clip_style_BtoA: 7.453, edge_AtoB: 3.954

[Rank 0] (epoch: 2, iters: 60, time: 0.088, data: 0.019) , D_A: 0.240, G_A: 0.575, cycle_A: 2.924, D_B: 0.235, G_B: 0.360, cycle_B: 3.246, clip_style_AtoB: 7.000, clip_style_BtoA: 7.352, edge_AtoB: 4.675

[Rank 0] (epoch: 2, iters: 80, time: 0.093, data: 0.021) , D_A: 0.198, G_A: 0.515, cycle_A: 2.190, D_B: 0.252, G_B: 0.401, cycle_B: 2.277, clip_style_AtoB: 7.148, clip_style_BtoA: 7.348, edge_AtoB: 2.125

[Rank 0] (epoch: 2, iters: 100, time: 0.086, data: 0.026) , D_A: 0.164, G_A: 0.584, cycle_A: 2.623, D_B: 0.167, G_B: 0.405, cycle_B: 2.136, clip_style_AtoB: 7.312, clip_style_BtoA: 7.305, edge_AtoB: 2.936

[Rank 0] (epoch: 2, iters: 120, time: 0.087, data: 0.015) , D_A: 0.184, G_A: 0.402, cycle_A: 2.879, D_B: 0.203, G_B: 0.502, cycle_B: 2.867, clip_style_AtoB: 7.141, clip_style_BtoA: 7.367, edge_AtoB: 4.837

[Rank 0] (epoch: 2, iters: 140, time: 0.089, data: 0.026) , D_A: 0.149, G_A: 0.451, cycle_A: 2.239, D_B: 0.216, G_B: 0.275, cycle_B: 2.823, clip_style_AtoB: 7.066, clip_style_BtoA: 7.414, edge_AtoB: 3.034

[Rank 0] (epoch: 2, iters: 160, time: 0.087, data: 0.016) , D_A: 0.258, G_A: 0.477, cycle_A: 2.650, D_B: 0.276, G_B: 0.473, cycle_B: 2.436, clip_style_AtoB: 7.246, clip_style_BtoA: 7.375, edge_AtoB: 4.261

[Rank 0] (epoch: 2, iters: 180, time: 0.088, data: 0.018) , D_A: 0.169, G_A: 0.485, cycle_A: 2.164, D_B: 0.260, G_B: 0.582, cycle_B: 3.084, clip_style_AtoB: 7.148, clip_style_BtoA: 7.320, edge_AtoB: 3.575

[Rank 0] (epoch: 2, iters: 200, time: 0.088, data: 0.021) , D_A: 0.225, G_A: 0.463, cycle_A: 2.506, D_B: 0.258, G_B: 0.339, cycle_B: 2.824, clip_style_AtoB: 7.273, clip_style_BtoA: 7.348, edge_AtoB: 3.397

[Rank 0] (epoch: 2, iters: 220, time: 0.085, data: 0.020) , D_A: 0.167, G_A: 0.421, cycle_A: 4.004, D_B: 0.218, G_B: 0.543, cycle_B: 2.317, clip_style_AtoB: 7.289, clip_style_BtoA: 7.320, edge_AtoB: 3.135

[Rank 0] (epoch: 2, iters: 240, time: 0.087, data: 0.018) , D_A: 0.146, G_A: 0.448, cycle_A: 2.523, D_B: 0.246, G_B: 0.528, cycle_B: 2.412, clip_style_AtoB: 7.000, clip_style_BtoA: 7.328, edge_AtoB: 3.550

[Rank 0] (epoch: 2, iters: 260, time: 0.085, data: 0.017) , D_A: 0.155, G_A: 0.451, cycle_A: 2.826, D_B: 0.205, G_B: 0.562, cycle_B: 2.891, clip_style_AtoB: 7.184, clip_style_BtoA: 7.352, edge_AtoB: 2.629

[Rank 0] (epoch: 2, iters: 280, time: 0.085, data: 0.020) , D_A: 0.166, G_A: 0.483, cycle_A: 3.630, D_B: 0.192, G_B: 0.428, cycle_B: 2.721, clip_style_AtoB: 7.242, clip_style_BtoA: 7.320, edge_AtoB: 3.396

[Rank 0] (epoch: 2, iters: 300, time: 0.085, data: 0.016) , D_A: 0.246, G_A: 0.365, cycle_A: 2.887, D_B: 0.269, G_B: 0.421, cycle_B: 2.283, clip_style_AtoB: 7.039, clip_style_BtoA: 7.297, edge_AtoB: 5.849

[Rank 0] (epoch: 2, iters: 320, time: 0.089, data: 0.021) , D_A: 0.204, G_A: 0.723, cycle_A: 2.506, D_B: 0.186, G_B: 0.399, cycle_B: 3.242, clip_style_AtoB: 7.145, clip_style_BtoA: 7.430, edge_AtoB: 3.758

[Rank 0] (epoch: 2, iters: 340, time: 0.089, data: 0.031) , D_A: 0.143, G_A: 0.461, cycle_A: 2.086, D_B: 0.176, G_B: 0.534, cycle_B: 3.387, clip_style_AtoB: 7.016, clip_style_BtoA: 7.340, edge_AtoB: 3.130

[Rank 0] (epoch: 2, iters: 360, time: 0.087, data: 0.026) , D_A: 0.234, G_A: 0.517, cycle_A: 3.183, D_B: 0.191, G_B: 0.520, cycle_B: 3.030, clip_style_AtoB: 7.023, clip_style_BtoA: 7.344, edge_AtoB: 3.770

[Rank 0] (epoch: 2, iters: 380, time: 0.088, data: 0.022) , D_A: 0.234, G_A: 0.561, cycle_A: 3.007, D_B: 0.180, G_B: 0.434, cycle_B: 2.797, clip_style_AtoB: 7.027, clip_style_BtoA: 7.246, edge_AtoB: 3.465

[Rank 0] (epoch: 2, iters: 400, time: 0.088, data: 0.016) , D_A: 0.167, G_A: 0.686, cycle_A: 2.163, D_B: 0.218, G_B: 0.602, cycle_B: 1.926, clip_style_AtoB: 7.102, clip_style_BtoA: 7.250, edge_AtoB: 2.564

[Rank 0] (epoch: 2, iters: 420, time: 0.086, data: 0.026) , D_A: 0.198, G_A: 0.486, cycle_A: 2.040, D_B: 0.295, G_B: 0.547, cycle_B: 1.871, clip_style_AtoB: 7.094, clip_style_BtoA: 7.379, edge_AtoB: 4.143

[Rank 0] (epoch: 2, iters: 440, time: 0.088, data: 0.013) , D_A: 0.223, G_A: 0.442, cycle_A: 2.103, D_B: 0.186, G_B: 0.509, cycle_B: 2.138, clip_style_AtoB: 7.074, clip_style_BtoA: 7.363, edge_AtoB: 2.886

[Rank 0] (epoch: 2, iters: 460, time: 0.087, data: 0.017) , D_A: 0.210, G_A: 0.558, cycle_A: 3.147, D_B: 0.280, G_B: 0.550, cycle_B: 1.905, clip_style_AtoB: 7.074, clip_style_BtoA: 7.375, edge_AtoB: 4.680

[Rank 0] (epoch: 2, iters: 480, time: 0.084, data: 0.021) , D_A: 0.094, G_A: 0.467, cycle_A: 2.749, D_B: 0.187, G_B: 0.463, cycle_B: 3.383, clip_style_AtoB: 6.988, clip_style_BtoA: 7.312, edge_AtoB: 5.246

